,film_id,category_id,film_title,category,average_price,number_of_rental_day,total_days_revenue,last_rental_date,store_id,inventory_count,total_rentals,total_revenue,average_rental_duration_days
20,13,11,Ali Forever,Horror,4.99,4,19.96,2006-02-15 10:07:09,2.0,4,9,54.91,4.63
22,15,9,Alien Center,Foreign,2.99,5,14.95,2006-02-15 10:07:09,2.0,4,12,46.88,4.75
23,15,9,Alien Center,Foreign,2.99,5,14.95,2006-02-15 10:07:09,1.0,2,10,37.92,5.0
24,16,9,Alley Evolution,Foreign,2.99,6,17.94,2006-02-15 10:07:09,2.0,2,8,22.93,5.15
25,16,9,Alley Evolution,Foreign,2.99,6,17.94,2006-02-15 10:07:09,1.0,2,6,23.94,5.97
26,17,12,Alone Trip,Music,0.99,3,2.97,2006-02-15 10:07:09,2.0,3,11,36.9,5.1
27,17,12,Alone Trip,Music,0.99,3,2.97,2006-02-15 10:07:09,1.0,3,7,24.93,5.91
28,18,2,Alter Victory,Animation,0.99,6,5.94,2006-02-15 10:07:09,1.0,3,13,17.89,5.0
29,18,2,Alter Victory,Animation,0.99,6,5.94,2006-02-15 10:07:09,2.0,3,9,12.91,4.09
30,19,1,Amadeus Holy,Action,0.99,6,5.94,2006-02-15 10:07:09,1.0,4,13,22.88,5.43
31,19,1,Amadeus Holy,Action,0.99,6,5.94,2006-02-15 10:07:09,2.0,2,8,9.92,3.99
32,20,12,Amelie Hellfighters,Music,4.99,4,19.96,2006-02-15 10:07:09,1.0,3,10,67.9,4.87
33,21,1,American Circus,Action,4.99,3,14.97,2006-02-15 10:07:09,2.0,4,12,92.88,5.74
34,21,1,American Circus,Action,4.99,3,14.97,2006-02-15 10:07:09,1.0,2,10,53.93,5.07
35,22,13,Amistad Midsummer,New,2.99,6,17.94,2006-02-15 10:07:09,1.0,4,14,45.86,4.05
36,22,13,Amistad Midsummer,New,2.99,6,17.94,2006-02-15 10:07:09,2.0,3,7,24.93,5.81
37,23,2,Anaconda Confessions,Animation,0.99,3,2.97,2006-02-15 10:07:09,1.0,3,11,29.9,4.83
38,23,2,Anaconda Confessions,Animation,0.99,3,2.97,2006-02-15 10:07:09,2.0,2,10,21.92,4.02
39,24,11,Analyze Hoosiers,Horror,2.99,6,17.94,2006-02-15 10:07:09,1.0,4,14,55.86,5.64
40,25,13,Angels Life,New,2.99,3,8.97,2006-02-15 10:07:09,1.0,4,14,65.87,4.87
41,25,13,Angels Life,New,2.99,3,8.97,2006-02-15 10:07:09,2.0,2,8,37.93,6.13
42,26,14,Annie Identity,Sci-Fi,0.99,3,2.97,2006-02-15 10:07:09,2.0,3,12,29.89,4.51
43,26,14,Annie Identity,Sci-Fi,0.99,3,2.97,2006-02-15 10:07:09,1.0,2,10,20.92,4.11
44,27,15,Anonymous Human,Sports,0.99,7,6.93,2006-02-15 10:07:09,1.0,4,13,17.87,4.85
45,28,5,Anthem Luke,Comedy,4.99,5,24.95,2006-02-15 10:07:09,1.0,3,15,63.89,4.66
46,29,1,Antitrust Tomatoes,Action,2.99,5,14.95,2006-02-15 10:07:09,1.0,2,10,27.93,4.69
47,30,11,Anything Savannah,Horror,2.99,4,11.96,2006-02-15 10:07:09,1.0,2,9,43.92,5.53
48,31,8,Apache Divine,Family,4.99,5,24.95,2006-02-15 10:07:09,2.0,4,16,79.86,3.97
49,31,8,Apache Divine,Family,4.99,5,24.95,2006-02-15 10:07:09,1.0,4,15,80.86,4.59
50,32,13,Apocalypse Flamingos,New,4.99,6,29.94,2006-02-15 10:07:09,2.0,2,6,24.95,4.25
52,34,11,Arabia Dogma,Horror,0.99,6,5.94,2006-02-15 10:07:09,2.0,4,13,21.88,4.63
53,35,11,Arachnophobia Rollercoaster,Horror,2.99,4,11.96,2006-02-15 10:07:09,1.0,4,13,59.88,5.76
54,35,11,Arachnophobia Rollercoaster,Horror,2.99,4,11.96,2006-02-15 10:07:09,2.0,3,11,49.89,5.25
56,37,4,Arizona Bang,Classics,2.99,3,8.97,2006-02-15 10:07:09,1.0,4,11,56.89,4.47
57,37,4,Arizona Bang,Classics,2.99,3,8.97,2006-02-15 10:07:09,2.0,3,10,47.9,4.56
59,39,14,Armageddon Lost,Sci-Fi,0.99,5,4.95,2006-02-15 10:07:09,2.0,4,12,23.89,4.99
60,39,14,Armageddon Lost,Sci-Fi,0.99,5,4.95,2006-02-15 10:07:09,1.0,3,9,17.91,5.42
61,40,6,Army Flintstones,Documentary,0.99,4,3.96,2006-02-15 10:07:09,2.0,4,16,36.86,4.93
63,42,15,Artist Coldblooded,Sports,2.99,5,14.95,2006-02-15 10:07:09,2.0,4,16,59.86,5.4
64,43,8,Atlantis Cause,Family,2.99,6,17.94,2006-02-15 10:07:09,2.0,4,12,37.9,4.86
65,43,8,Atlantis Cause,Family,2.99,6,17.94,2006-02-15 10:07:09,1.0,3,12,37.89,4.57
66,44,14,Attacks Hate,Sci-Fi,4.99,5,24.95,2006-02-15 10:07:09,2.0,3,9,62.91,6.53
67,44,14,Attacks Hate,Sci-Fi,4.99,5,24.95,2006-02-15 10:07:09,1.0,2,7,38.93,4.75
68,45,13,Attraction Newton,New,4.99,5,24.95,2006-02-15 10:07:09,1.0,4,15,82.86,4.33
69,45,13,Attraction Newton,New,4.99,5,24.95,2006-02-15 10:07:09,2.0,2,9,50.92,4.57
70,46,10,Autumn Crow,Games,4.99,3,14.97,2006-02-15 10:07:09,2.0,3,11,74.9,5.19
71,47,9,Baby Hall,Foreign,4.99,5,24.95,2006-02-15 10:07:09,2.0,2,8,40.93,4.77
72,48,3,Backlash Undefeated,Children,4.99,3,14.97,2006-02-15 10:07:09,1.0,2,10,67.92,5.77
73,48,3,Backlash Undefeated,Children,4.99,3,14.97,2006-02-15 10:07:09,2.0,2,9,72.92,6.67
74,49,14,Badman Dawn,Sci-Fi,2.99,6,17.94,2006-02-15 10:07:09,2.0,3,12,45.88,5.11
75,49,14,Badman Dawn,Sci-Fi,2.99,6,17.94,2006-02-15 10:07:09,1.0,3,9,30.91,3.79
76,50,8,Baked Cleopatra,Family,2.99,3,8.97,2006-02-15 10:07:09,1.0,3,8,39.92,4.83
77,50,8,Baked Cleopatra,Family,2.99,3,8.97,2006-02-15 10:07:09,2.0,2,8,36.93,4.43
78,51,12,Balloon Homeward,Music,2.99,5,14.95,2006-02-15 10:07:09,2.0,4,14,57.86,5.3
79,51,12,Balloon Homeward,Music,2.99,5,14.95,2006-02-15 10:07:09,1.0,2,9,33.92,6.06
80,52,9,Ballroom Mockingbird,Foreign,0.99,6,5.94,2006-02-15 10:07:09,2.0,2,8,9.93,4.53
81,53,8,Bang Kwai,Family,2.99,5,14.95,2006-02-15 10:07:09,1.0,2,7,22.93,4.56
82,54,12,Banger Pinocchio,Music,0.99,5,4.95,2006-02-15 10:07:09,1.0,3,13,26.88,4.77
83,54,12,Banger Pinocchio,Music,0.99,5,4.95,2006-02-15 10:07:09,2.0,2,9,13.92,4.47
84,55,14,Barbarella Streetcar,Sci-Fi,2.99,6,17.94,2006-02-15 10:07:09,1.0,4,18,59.84,5.73
85,55,14,Barbarella Streetcar,Sci-Fi,2.99,6,17.94,2006-02-15 10:07:09,2.0,2,7,24.94,5.84
86,56,1,Barefoot Manchurian,Action,2.99,6,17.94,2006-02-15 10:07:09,1.0,3,11,35.9,5.3
87,56,1,Barefoot Manchurian,Action,2.99,6,17.94,2006-02-15 10:07:09,2.0,2,7,23.93,4.64
88,57,16,Basic Easy,Travel,2.99,4,11.96,2006-02-15 10:07:09,1.0,4,11,43.89,3.93
89,57,16,Basic Easy,Travel,2.99,4,11.96,2006-02-15 10:07:09,2.0,3,10,43.91,5.53
90,58,6,Beach Heartbreakers,Documentary,2.99,6,17.94,2006-02-15 10:07:09,2.0,4,17,55.86,5.2
91,59,3,Bear Graceland,Children,2.99,4,11.96,2006-02-15 10:07:09,1.0,3,12,57.89,5.64
92,59,3,Bear Graceland,Children,2.99,4,11.96,2006-02-15 10:07:09,2.0,2,10,35.92,5.33
93,60,4,Beast Hunchback,Classics,4.99,3,14.97,2006-02-15 10:07:09,1.0,3,11,69.9,4.48
94,61,7,Beauty Grease,Drama,4.99,5,24.95,2006-02-15 10:07:09,1.0,4,15,80.86,4.71
95,61,7,Beauty Grease,Drama,4.99,5,24.95,2006-02-15 10:07:09,2.0,2,7,44.93,5.02
96,62,6,Bed Highball,Documentary,2.99,5,14.95,2006-02-15 10:07:09,2.0,2,6,24.94,5.58
97,63,8,Bedazzled Married,Family,0.99,6,5.94,2006-02-15 10:07:09,1.0,2,7,6.94,4.41
98,63,8,Bedazzled Married,Family,0.99,6,5.94,2006-02-15 10:07:09,2.0,2,6,7.94,3.88
99,64,7,Beethoven Exorcist,Drama,0.99,6,5.94,2006-02-15 10:07:09,2.0,3,11,16.89,4.77
100,65,11,Behavior Runaway,Horror,4.99,3,14.97,2006-02-15 10:07:09,2.0,4,13,87.89,5.33
101,66,3,Beneath Rush,Children,0.99,6,5.94,2006-02-15 10:07:09,1.0,3,10,16.9,4.46
102,67,1,Berets Agent,Action,2.99,5,14.95,2006-02-15 10:07:09,2.0,4,15,49.86,4.12
103,67,1,Berets Agent,Action,2.99,5,14.95,2006-02-15 10:07:09,1.0,2,6,22.94,4.97
104,68,3,Betrayed Rear,Children,4.99,5,24.95,2006-02-15 10:07:09,2.0,2,8,42.93,4.0
105,68,3,Betrayed Rear,Children,4.99,5,24.95,2006-02-15 10:07:09,1.0,2,7,36.94,6.01
106,69,14,Beverly Outlaw,Sci-Fi,2.99,3,8.97,2006-02-15 10:07:09,2.0,4,12,56.88,4.44
107,69,14,Beverly Outlaw,Sci-Fi,2.99,3,8.97,2006-02-15 10:07:09,1.0,4,9,58.91,6.33
108,70,2,Bikini Borrowers,Animation,4.99,7,34.93,2006-02-15 10:07:09,2.0,2,9,39.93,6.57
109,70,2,Bikini Borrowers,Animation,4.99,7,34.93,2006-02-15 10:07:09,1.0,2,8,39.93,5.35
110,71,8,Bilko Anonymous,Family,4.99,3,14.97,2006-02-15 10:07:09,2.0,4,13,94.88,5.41
111,72,6,Bill Others,Documentary,2.99,6,17.94,2006-02-15 10:07:09,1.0,4,13,43.87,4.58
112,72,6,Bill Others,Documentary,2.99,6,17.94,2006-02-15 10:07:09,2.0,2,6,19.95,5.52
113,73,14,Bingo Talented,Sci-Fi,2.99,5,14.95,2006-02-15 10:07:09,2.0,4,15,57.87,5.05
114,73,14,Bingo Talented,Sci-Fi,2.99,5,14.95,2006-02-15 10:07:09,1.0,4,14,61.88,6.41
115,74,12,Birch Antitrust,Music,4.99,4,19.96,2006-02-15 10:07:09,1.0,3,6,35.94,5.16
116,74,12,Birch Antitrust,Music,4.99,4,19.96,2006-02-15 10:07:09,2.0,2,5,38.95,5.97
117,75,16,Bird Independence,Travel,4.99,6,29.94,2006-02-15 10:07:09,2.0,3,11,53.91,5.57
118,76,12,Birdcage Casper,Music,0.99,4,3.96,2006-02-15 10:07:09,1.0,3,9,23.91,5.29
119,77,13,Birds Perdition,New,4.99,5,24.95,2006-02-15 10:07:09,1.0,4,10,60.9,4.79
120,77,13,Birds Perdition,New,4.99,5,24.95,2006-02-15 10:07:09,2.0,2,8,41.93,4.56
121,78,2,Blackout Private,Animation,2.99,7,20.93,2006-02-15 10:07:09,2.0,4,13,34.89,3.03
122,78,2,Blackout Private,Animation,2.99,7,20.93,2006-02-15 10:07:09,1.0,3,14,43.88,5.37
123,79,7,Blade Polish,Drama,0.99,5,4.95,2006-02-15 10:07:09,2.0,3,12,12.9,3.45
124,79,7,Blade Polish,Drama,0.99,5,4.95,2006-02-15 10:07:09,1.0,3,10,16.91,4.77
125,80,8,Blanket Beverly,Family,2.99,7,20.93,2006-02-15 10:07:09,1.0,4,12,33.9,6.15
126,81,14,Blindness Gun,Sci-Fi,4.99,6,29.94,2006-02-15 10:07:09,1.0,4,14,71.87,5.1
127,82,8,Blood Argonauts,Family,0.99,3,2.97,2006-02-15 10:07:09,1.0,2,10,30.93,5.67
128,83,8,Blues Instinct,Family,2.99,5,14.95,2006-02-15 10:07:09,1.0,3,13,48.88,4.56
129,83,8,Blues Instinct,Family,2.99,5,14.95,2006-02-15 10:07:09,2.0,2,8,26.94,4.66
130,84,16,Boiled Dares,Travel,4.99,7,34.93,2006-02-15 10:07:09,1.0,4,15,66.87,4.62
131,85,6,Bonnie Holocaust,Documentary,0.99,4,3.96,2006-02-15 10:07:09,2.0,4,16,31.85,4.29
132,86,12,Boogie Amelie,Music,4.99,6,29.94,2006-02-15 10:07:09,1.0,4,17,84.85,4.68
133,86,12,Boogie Amelie,Music,4.99,6,29.94,2006-02-15 10:07:09,2.0,4,12,55.89,4.85
135,88,16,Born Spinal,Travel,4.99,7,34.93,2006-02-15 10:07:09,2.0,4,12,59.88,4.15
136,89,2,Borrowers Bedazzled,Animation,0.99,7,6.93,2006-02-15 10:07:09,2.0,3,12,12.89,5.83
137,89,2,Borrowers Bedazzled,Animation,0.99,7,6.93,2006-02-15 10:07:09,1.0,3,10,12.91,5.39
138,90,13,Boulevard Mob,New,0.99,3,2.97,2006-02-15 10:07:09,1.0,3,10,25.92,5.36
139,90,13,Boulevard Mob,New,0.99,3,2.97,2006-02-15 10:07:09,2.0,3,8,30.92,5.98
140,91,4,Bound Cheaper,Classics,0.99,5,4.95,2006-02-15 10:07:09,2.0,4,14,26.86,4.9
141,91,4,Bound Cheaper,Classics,0.99,5,4.95,2006-02-15 10:07:09,1.0,4,10,23.9,5.85
142,92,11,Bowfinger Gables,Horror,4.99,7,34.93,2006-02-15 10:07:09,2.0,2,6,31.94,3.86
144,93,13,Brannigan Sunrise,New,4.99,4,19.96,2006-02-15 10:07:09,2.0,3,12,56.91,4.52
145,94,8,Braveheart Human,Family,2.99,7,20.93,2006-02-15 10:07:09,1.0,2,5,16.95,4.02
146,95,13,Breakfast Goldfinger,New,4.99,5,24.95,2006-02-15 10:07:09,2.0,3,11,65.9,5.3
147,95,13,Breakfast Goldfinger,New,4.99,5,24.95,2006-02-15 10:07:09,1.0,2,6,38.94,5.78
148,96,13,Breaking Home,New,2.99,4,11.96,2006-02-15 10:07:09,1.0,3,13,41.9,4.23
149,97,1,Bride Intrigue,Action,0.99,7,6.93,2006-02-15 10:07:09,1.0,4,11,13.89,5.23
150,97,1,Bride Intrigue,Action,0.99,7,6.93,2006-02-15 10:07:09,2.0,2,8,6.93,3.54
151,98,7,Bright Encounters,Drama,4.99,4,19.96,2006-02-15 10:07:09,1.0,3,13,87.88,5.3
152,99,5,Bringing Hysterical,Comedy,2.99,7,20.93,2006-02-15 10:07:09,1.0,3,10,36.9,6.03
153,99,5,Bringing Hysterical,Comedy,2.99,7,20.93,2006-02-15 10:07:09,2.0,3,10,31.91,5.56
154,100,9,Brooklyn Desert,Foreign,4.99,7,34.93,2006-02-15 10:07:09,1.0,4,15,67.87,4.65
156,101,6,Brotherhood Blanket,Documentary,0.99,3,2.97,2006-02-15 10:07:09,1.0,4,17,64.85,5.7
157,101,6,Brotherhood Blanket,Documentary,0.99,3,2.97,2006-02-15 10:07:09,2.0,2,9,33.92,5.73
158,102,15,Bubble Grosse,Sports,4.99,4,19.96,2006-02-15 10:07:09,2.0,2,6,35.94,4.43
159,103,16,Bucket Brotherhood,Travel,4.99,7,34.93,2006-02-15 10:07:09,2.0,4,17,69.87,5.02
160,103,16,Bucket Brotherhood,Travel,4.99,7,34.93,2006-02-15 10:07:09,1.0,4,17,80.85,4.88
161,104,9,Bugsy Song,Foreign,2.99,4,11.96,2006-02-15 10:07:09,2.0,3,11,45.91,5.6
162,105,1,Bull Shawshank,Action,0.99,6,5.94,2006-02-15 10:07:09,2.0,3,11,15.89,4.97
163,105,1,Bull Shawshank,Action,0.99,6,5.94,2006-02-15 10:07:09,1.0,2,5,5.95,4.26
164,106,10,Bulworth Commandments,Games,2.99,4,11.96,2006-02-15 10:07:09,1.0,2,7,32.93,5.22
165,107,7,Bunch Minds,Drama,2.99,4,11.96,2006-02-15 10:07:09,2.0,2,5,25.95,5.52
167,109,13,Butterfly Chocolat,New,0.99,3,2.97,2006-02-15 10:07:09,1.0,4,16,67.86,6.6
168,109,13,Butterfly Chocolat,New,0.99,3,2.97,2006-02-15 10:07:09,2.0,4,14,40.88,5.17
169,110,3,Cabin Flash,Children,0.99,4,3.96,2006-02-15 10:07:09,1.0,4,15,39.86,5.36
170,111,1,Caddyshack Jedi,Action,0.99,3,2.97,2006-02-15 10:07:09,2.0,4,16,46.86,4.64
171,112,9,Calendar Gunfight,Foreign,4.99,4,19.96,2006-02-15 10:07:09,1.0,4,13,86.88,5.17
172,112,9,Calendar Gunfight,Foreign,4.99,4,19.96,2006-02-15 10:07:09,2.0,3,8,36.94,4.91
173,113,15,California Birds,Sports,4.99,4,19.96,2006-02-15 10:07:09,2.0,4,12,73.89,5.45
174,114,14,Camelot Vacation,Sci-Fi,0.99,3,2.97,2006-02-15 10:07:09,1.0,4,16,54.86,5.42
175,114,14,Camelot Vacation,Sci-Fi,0.99,3,2.97,2006-02-15 10:07:09,2.0,3,11,38.9,5.72
176,115,1,Campus Remember,Action,2.99,5,14.95,2006-02-15 10:07:09,2.0,4,13,52.89,6.24
177,115,1,Campus Remember,Action,2.99,5,14.95,2006-02-15 10:07:09,1.0,3,6,28.94,5.97
178,116,4,Candidate Perdition,Classics,2.99,4,11.96,2006-02-15 10:07:09,2.0,4,13,61.88,6.01
179,116,4,Candidate Perdition,Classics,2.99,4,11.96,2006-02-15 10:07:09,1.0,2,5,26.94,6.22
180,117,10,Candles Grapes,Games,4.99,6,29.94,2006-02-15 10:07:09,1.0,4,15,70.87,4.88
181,117,10,Candles Grapes,Games,4.99,6,29.94,2006-02-15 10:07:09,2.0,2,8,40.93,4.67
182,118,2,Canyon Stock,Animation,0.99,7,6.93,2006-02-15 10:07:09,1.0,4,13,21.87,5.54
183,118,2,Canyon Stock,Animation,0.99,7,6.93,2006-02-15 10:07:09,2.0,2,6,5.94,3.52
184,119,5,Caper Motions,Comedy,0.99,6,5.94,2006-02-15 10:07:09,2.0,4,17,24.84,4.29
185,119,5,Caper Motions,Comedy,0.99,6,5.94,2006-02-15 10:07:09,1.0,3,7,12.93,5.13
186,120,15,Caribbean Liberty,Sports,4.99,3,14.97,2006-02-15 10:07:09,1.0,3,9,66.92,5.78
187,121,2,Carol Texas,Animation,2.99,4,11.96,2006-02-15 10:07:09,2.0,3,10,36.91,4.75
188,121,2,Carol Texas,Animation,2.99,4,11.96,2006-02-15 10:07:09,1.0,3,8,42.92,5.67
189,122,11,Carrie Bunch,Horror,0.99,7,6.93,2006-02-15 10:07:09,1.0,4,15,22.85,4.52
190,122,11,Carrie Bunch,Horror,0.99,7,6.93,2006-02-15 10:07:09,2.0,3,8,11.92,5.22
191,123,16,Casablanca Super,Travel,4.99,6,29.94,2006-02-15 10:07:09,2.0,3,11,56.89,4.05
192,123,16,Casablanca Super,Travel,4.99,6,29.94,2006-02-15 10:07:09,1.0,2,5,25.95,4.97
193,124,3,Casper Dragonfly,Children,4.99,3,14.97,2006-02-15 10:07:09,2.0,3,8,45.93,4.31
194,125,16,Cassidy Wyoming,Travel,2.99,5,14.95,2006-02-15 10:07:09,2.0,2,6,23.94,5.43
195,126,1,Casualties Encino,Action,4.99,3,14.97,2006-02-15 10:07:09,2.0,3,9,61.92,6.12
196,127,5,Cat Coneheads,Comedy,4.99,5,24.95,2006-02-15 10:07:09,1.0,4,15,85.86,5.02
197,127,5,Cat Coneheads,Comedy,4.99,5,24.95,2006-02-15 10:07:09,2.0,4,15,73.87,5.11
199,129,6,Cause Date,Documentary,2.99,3,8.97,2006-02-15 10:07:09,2.0,3,14,65.88,5.16
200,129,6,Cause Date,Documentary,2.99,3,8.97,2006-02-15 10:07:09,1.0,3,7,48.93,6.72
201,130,1,Celebrity Horn,Action,0.99,7,6.93,2006-02-15 10:07:09,2.0,4,16,16.86,4.8
202,130,1,Celebrity Horn,Action,0.99,7,6.93,2006-02-15 10:07:09,1.0,2,8,11.93,6.41
203,131,4,Center Dinosaur,Classics,4.99,5,24.95,2006-02-15 10:07:09,1.0,4,17,80.86,3.94
204,131,4,Center Dinosaur,Classics,4.99,5,24.95,2006-02-15 10:07:09,2.0,2,7,40.93,4.58
205,132,14,Chainsaw Uptown,Sci-Fi,0.99,6,5.94,2006-02-15 10:07:09,1.0,4,12,15.89,4.0
206,132,14,Chainsaw Uptown,Sci-Fi,0.99,6,5.94,2006-02-15 10:07:09,2.0,2,9,15.92,5.76
208,133,12,Chamber Italian,Music,4.99,7,34.93,2006-02-15 10:07:09,1.0,2,5,19.96,4.45
209,134,2,Champion Flatliners,Animation,4.99,4,19.96,2006-02-15 10:07:09,2.0,3,13,62.9,4.96
210,135,15,Chance Resurrection,Sports,2.99,3,8.97,2006-02-15 10:07:09,2.0,4,17,80.85,5.06
211,135,15,Chance Resurrection,Sports,2.99,3,8.97,2006-02-15 10:07:09,1.0,3,10,43.91,5.14
212,136,13,Chaplin License,New,2.99,7,20.93,2006-02-15 10:07:09,1.0,3,8,23.92,4.25
213,137,14,Charade Duffel,Sci-Fi,2.99,3,8.97,2006-02-15 10:07:09,2.0,4,15,66.87,5.12
214,138,14,Chariots Conspiracy,Sci-Fi,2.99,5,14.95,2006-02-15 10:07:09,2.0,3,12,35.89,4.12
215,138,14,Chariots Conspiracy,Sci-Fi,2.99,5,14.95,2006-02-15 10:07:09,1.0,2,9,29.92,4.1
216,139,8,Chasing Fight,Family,4.99,7,34.93,2006-02-15 10:07:09,1.0,4,13,73.88,6.42
217,139,8,Chasing Fight,Family,4.99,7,34.93,2006-02-15 10:07:09,2.0,2,7,31.94,3.85
218,140,14,Cheaper Clyde,Sci-Fi,0.99,6,5.94,2006-02-15 10:07:09,2.0,3,12,15.9,4.9
219,140,14,Cheaper Clyde,Sci-Fi,0.99,6,5.94,2006-02-15 10:07:09,1.0,2,8,14.93,6.69
220,141,10,Chicago North,Games,4.99,6,29.94,2006-02-15 10:07:09,1.0,3,10,52.91,6.17
221,141,10,Chicago North,Games,4.99,6,29.94,2006-02-15 10:07:09,2.0,2,6,31.94,4.45
222,142,6,Chicken Hellfighters,Documentary,0.99,3,2.97,2006-02-15 10:07:09,1.0,3,14,41.88,5.15
223,142,6,Chicken Hellfighters,Documentary,0.99,3,2.97,2006-02-15 10:07:09,2.0,2,8,16.93,3.7
224,143,7,Chill Luck,Drama,0.99,6,5.94,2006-02-15 10:07:09,1.0,4,14,18.87,5.0
225,143,7,Chill Luck,Drama,0.99,6,5.94,2006-02-15 10:07:09,2.0,3,8,10.92,4.74
227,145,8,Chisum Behavior,Family,4.99,5,24.95,2006-02-15 10:07:09,2.0,3,13,50.9,4.7
228,146,7,Chitty Lock,Drama,2.99,6,17.94,2006-02-15 10:07:09,1.0,3,8,28.92,5.17
229,147,8,Chocolat Harry,Family,0.99,5,4.95,2006-02-15 10:07:09,1.0,3,12,29.89,6.11
230,147,8,Chocolat Harry,Family,0.99,5,4.95,2006-02-15 10:07:09,2.0,3,8,19.92,5.0
232,149,3,Christmas Moonshine,Children,0.99,7,6.93,2006-02-15 10:07:09,1.0,3,11,16.9,5.32
233,149,3,Christmas Moonshine,Children,0.99,7,6.93,2006-02-15 10:07:09,2.0,3,10,9.91,5.5
234,150,6,Cider Desire,Documentary,2.99,7,20.93,2006-02-15 10:07:09,2.0,4,15,43.87,4.98
235,150,6,Cider Desire,Documentary,2.99,7,20.93,2006-02-15 10:07:09,1.0,2,4,12.96,6.33
236,151,14,Cincinatti Whisperer,Sci-Fi,4.99,5,24.95,2006-02-15 10:07:09,1.0,2,7,35.94,5.87
238,152,3,Circus Youth,Children,2.99,5,14.95,2006-02-15 10:07:09,1.0,4,15,53.86,5.08
239,153,14,Citizen Shrek,Sci-Fi,0.99,7,6.93,2006-02-15 10:07:09,1.0,4,13,21.87,5.12
240,154,2,Clash Freddy,Animation,2.99,6,17.94,2006-02-15 10:07:09,2.0,4,16,45.86,5.52
241,154,2,Clash Freddy,Animation,2.99,6,17.94,2006-02-15 10:07:09,1.0,3,9,31.91,4.2
242,155,13,Cleopatra Devil,New,0.99,6,5.94,2006-02-15 10:07:09,2.0,3,11,14.91,5.45
243,155,13,Cleopatra Devil,New,0.99,6,5.94,2006-02-15 10:07:09,1.0,2,7,12.94,6.78
244,156,6,Clerks Angels,Documentary,4.99,3,14.97,2006-02-15 10:07:09,2.0,2,7,45.94,5.21
245,157,3,Clockwork Paradise,Children,0.99,7,6.93,2006-02-15 10:07:09,2.0,3,10,11.9,5.07
246,158,12,Clones Pinocchio,Music,2.99,6,17.94,2006-02-15 10:07:09,2.0,3,11,31.9,4.32
247,158,12,Clones Pinocchio,Music,2.99,6,17.94,2006-02-15 10:07:09,1.0,2,8,27.93,5.19
248,159,5,Closer Bang,Comedy,4.99,5,24.95,2006-02-15 10:07:09,1.0,4,16,89.86,4.85
249,159,5,Closer Bang,Comedy,4.99,5,24.95,2006-02-15 10:07:09,2.0,3,12,62.9,4.92
250,160,2,Club Graffiti,Animation,0.99,4,3.96,2006-02-15 10:07:09,2.0,3,11,27.9,5.53
251,160,2,Club Graffiti,Animation,0.99,4,3.96,2006-02-15 10:07:09,1.0,2,8,10.92,3.44
252,161,12,Clue Grail,Music,4.99,6,29.94,2006-02-15 10:07:09,1.0,2,7,40.93,5.3
